step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9716.37,9730.55,0.146001,48.8165,0.502415
20,19343.8,19352.9,0.0470916,153.129,0.791617
30,28950.1,28891.6,0.202079,279.302,0.964769
40,38537.7,38466.7,0.184273,356.092,0.92401
50,48099.7,48564.9,0.967198,372.668,0.774782
60,57641,57770,0.223771,464.296,0.805496
70,67164.7,67135.7,0.0432409,506.478,0.754084
80,76677.7,76607.8,0.0911051,632.716,0.825164
90,86169.9,85989.7,0.20912,630.117,0.73125
100,95644.3,95493.5,0.157737,641.236,0.670438
