step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9721.8,9679.85,0.431529,321.85,3.3106
20,19350,19302.9,0.243648,768.297,3.97052
30,28946.1,29265.7,1.10408,1222.63,4.2238
40,38523.3,38777.2,0.659243,1540.13,3.99791
50,48087.3,48368.1,0.584083,1822.51,3.79001
60,57634.6,58121.2,0.844403,2220.55,3.85281
70,67153.2,67843.9,1.02854,2731.13,4.06701
80,76662.9,77648.3,1.28546,2885.94,3.76445
90,86155.9,87633.2,1.71461,2748.44,3.19008
100,95638.2,97208.7,1.64207,3072.66,3.2128
